CompanyName,JobRole,Experience,Skills,Links
Greedygame Media,Founding Data Scientist / Data Science Lead,15.0,SIDE Trade Usage data science Analytical Subject Matter Expert Gaming Statistics,https://www.naukri.com/job-listings-founding-data-scientist-data-science-lead-greedygame-bengaluru-15-to-20-years-010426504247
Han Digital Solution,Data Scientist/data science - Gen AI,6.0,algorithms software design machine learning frameworks ai solutions ai machine learning software design patterns artificial intelligence,https://www.naukri.com/job-listings-data-scientist-data-science-gen-ai-han-digital-solution-p-bengaluru-6-to-9-years-121225503268
Bristlecone,Data Scientist - Data Science-,1.0,data science Science Data,https://www.naukri.com/job-listings-data-scientist-data-science-bristlecone-bengaluru-1-to-6-years-020326505513
Vidushi Infotech,Data Scientist,3.0,Data Science Predictive Modeling Pyspark Logistic Regression Artificial Intelligence Natural Language Processing LLM Machine Learning,https://www.naukri.com/job-listings-data-scientist-vidushi-infotech-bengaluru-3-to-8-years-010426021231
Accenture,S&C Global Network - AI - Retail - Consultant - Data Scientist,4.0,python natural language processing machine learning artificial intelligence deep learning c++ data analytics data analysis,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-4-to-9-years-300326922526
Unicon Connectors,Data Scientist - Machine Learning/Artificial Intelligence,3.0,Machine Learning Data Science R Artificial Intelligence Data Visualization Data Warehousing Data Analytics Python,https://www.naukri.com/job-listings-data-scientist-machine-learning-artificial-intelligence-unico-connect-private-limited-maharashtra-3-to-5-years-270326925152
Infosys,Revenue Growth Management-Data Scientist,8.0,data scientist mlops algorithms python data analytics data processing ai databricks,https://www.naukri.com/job-listings-revenue-growth-management-data-scientist-infosys-limited-bengaluru-8-to-13-years-230326930216
eBay,Data Scientist,2.0,Administration deep learning Automation data science Machine learning Natural language processing Data analytics SQL,https://www.naukri.com/job-listings-data-scientist-ebay-bengaluru-2-to-7-years-230326501838
Celebal Technologies,Data Scientist,3.0,Retail Analytics Data Science Predictive Modeling Generative Ai Natural Language Processing Time Series Statistical Modeling Data Analytics,https://www.naukri.com/job-listings-data-scientist-celebal-technologies-bengaluru-3-to-8-years-230326008907
Adani Group,Data Scientist - Mining Business,3.0,Data Science Data Visualization Mining Geological Data Analytics Geology Data Analytics Reporting Analytics,https://www.naukri.com/job-listings-data-scientist-mining-business-adani-group-ahmedabad-3-to-7-years-170326035805
Accenture,S&C Global Network - AI - Retail - Consultant - Data Scientist,3.0,python natural language processing machine learning artificial intelligence deep learning c++ data analytics data analysis,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-3-to-7-years-300326922522
Accenture,S&C Global Network - AI - Retail - Consultant - Data Scientist,3.0,python natural language processing machine learning artificial intelligence deep learning c++ data analytics data analysis,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-3-to-7-years-300326922517
Adani Group,Data Scientist,10.0,advanced analytics python data analytics sales forecasting forecasting sales analytics data integrity process improvement,https://www.naukri.com/job-listings-data-scientist-adani-group-ahmedabad-10-to-15-years-280326011332
Infosys,Data Scientist/Machine Learning,5.0,data scientist data analytics supply chain mathematics logistics machine learning retail sql,https://www.naukri.com/job-listings-data-scientist-machine-learning-infosys-limited-bengaluru-5-to-10-years-230326930253
Interra Information Technologies,Data Scientist / Machine Learning Engineer,4.0,Data Science Python Predictive Modeling Data Engineering Artificial Intelligence Natural Language Processing Regression Machine Learning,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-interra-information-technologies-noida-new-delhi-greater-noida-4-to-6-years-160326021413
Amgen Inc,CDNA_Data Scientist Data Science & Measurement,3.0,data science Pharma Healthcare Life sciences Predictive modeling data visualization Project delivery Analytics,https://www.naukri.com/job-listings-cdna-data-scientist-data-science-measurement-horizon-therapeutics-hyderabad-3-to-5-years-080925500977
Western Digital,"Scientist 5, Data Science",0.0,Automation Prototype Publishing Coding Disaster recovery Machine learning System design Operations,https://www.naukri.com/job-listings-scientist-5-data-science-western-digital-bengaluru-0-to-8-years-050326500066
KAS Services,Data Scientist,2.0,Supply chain advanced analytics data science big data analytics Analytical Machine learning Agile Analytics,https://www.naukri.com/job-listings-data-scientist-kas-services-india-bengaluru-2-to-7-years-200326506813
Amgen Inc,Data Scientist,1.0,python data analytics presentation skills story writing data science natural language processing scikit-learn power bi,https://www.naukri.com/job-listings-data-scientist-amgen-inc-hyderabad-1-to-6-years-190326928264
Amgen Inc,Data Scientist,3.0,python scikit-learn tensorflow pytorch ml algorithms data analysis data analytics,https://www.naukri.com/job-listings-data-scientist-amgen-inc-hyderabad-3-to-7-years-190326928262
Amgen Inc,Data Scientist,3.0,Data Science python data analytics data analysis forecasting predictive analytics ai databricks,https://www.naukri.com/job-listings-data-scientist-amgen-inc-hyderabad-3-to-7-years-180326938087
Esp Consultant,Data Scientist,3.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-esp-consultant-india-pvt-ltd-mumbai-3-to-6-years-171125501371
Applied Data Finance,Data Scientist-Collections,1.0,My SQL Machine Learning Python risk assessment data analytics data analysis credit risk fintech,https://www.naukri.com/job-listings-data-scientist-collections-applied-data-finance-hyderabad-chennai-bengaluru-1-to-3-years-170326916337
Applied Data Finance,Data Scientist-Collections,1.0,data scientist risk assessment python data analytics data analysis credit risk machine learning fintech,https://www.naukri.com/job-listings-data-scientist-collections-applied-data-finance-hyderabad-chennai-bengaluru-1-to-3-years-170326913399
eBay,Data Scientist,4.0,Administration deep learning Automation data science Machine learning Natural language processing Data analytics SQL,https://www.naukri.com/job-listings-data-scientist-ebay-bengaluru-4-to-9-years-170326500687
Arrowx Top Talent Private Limited,Data Scientist,2.0,Data Science python Artificial Intelligence Data Analytics Machine Learning Algorithms Deep Learning Frameworks Linear Regression,https://www.naukri.com/job-listings-data-scientist-arrowx-top-talent-noida-2-to-5-years-170326015012
Blackstraw Technologies,Data Scientist,3.0,Data Science Logistic Regression Artificial Intelligence Natural Language Processing Regression Neural Networks Machine Learning Deep Learning,https://www.naukri.com/job-listings-data-scientist-blackstraw-technologies-chennai-3-to-8-years-120326035402
Crescendo Global,Data Scientist (Insurance domain),4.0,Data Science Insurance Machine Learning Python SQL Predictive Modeling Xgboost Natural Language Processing,https://www.naukri.com/job-listings-data-scientist-insurance-domain-crescendo-global-leadership-hiring-india-pune-gurugram-bengaluru-4-to-9-years-120326012500
Han Digital Solution,Data Scientist,1.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-han-digital-solution-p-bengaluru-1-to-2-years-111225504782
Lektronix,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-lektronix-bengaluru-5-to-10-years-301225503533
Lektronix,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-lektronix-pune-5-to-10-years-301225503532
Lektronix,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-lektronix-new-delhi-5-to-10-years-301225503531
Kalypso A Rockwell Automation Business,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-kalypso-a-rockwell-automation-business-bengaluru-5-to-10-years-301225503527
Kalypso A Rockwell Automation Business,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-kalypso-a-rockwell-automation-business-pune-5-to-10-years-301225503526
Kalypso A Rockwell Automation Business,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-kalypso-a-rockwell-automation-business-new-delhi-5-to-10-years-301225503525
Rockwell Automation,Data Scientist,5.0,Analytical skills Change management Automation data science Relationship building Test scenarios Data analytics Management,https://www.naukri.com/job-listings-data-scientist-rockwell-automation-new-delhi-5-to-10-years-291225502860
Requin Solutions,Data Scientist,3.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-requin-group-bengaluru-3-to-8-years-280625501254
Hbic Solutions,Data Scientist,0.0,deep learning data science Artificial Intelligence Data collection Packaging Data analytics Python Testing,https://www.naukri.com/job-listings-data-scientist-hbic-solutions-hyderabad-0-to-2-years-270723501100
Fospe Software,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-fospe-software-pvt-ltd-bengaluru-2-to-6-years-260925504026
Findability Sciences,Data Scientist,4.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-findability-sciences-nagar-4-to-9-years-260525500741
Mittal Alliance,Data Scientist,2.0,algorithms python data analysis data analytics natural language processing data mining predictive analytics machine learning,https://www.naukri.com/job-listings-data-scientist-mittal-alliance-industries-private-limited-indore-2-to-4-years-260226504559
Som Imaging Informatics,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-som-imaging-informatics-pvt-ltd-remote-2-to-6-years-250825500507
AppVenture.,Data Scientist,8.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-appventure-new-delhi-8-to-13-years-250225500879
Insync Analytics,Data Scientists,1.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientists-insync-analytics-india-private-limited-mumbai-1-to-2-years-240725503974
Han Digital Solution,Data Scientist SLM/LLM,1.0,python data analysis data analytics natural language processing predictive analytics training machine learning sql,https://www.naukri.com/job-listings-data-scientist-slm-llm-han-digital-solution-p-hubli-mangaluru-mysuru-bengaluru-belgaum-1-to-2-years-221125501368
Axonotics,Data Scientist,3.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-axonotics-private-limited-bhubaneswar-3-to-7-years-200625500632
Edgevertise Service Lucknow,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-edgevertise-service-lucknow-banda-2-to-6-years-191125504568
Srima Tech,Data Scientist,3.0,Computer science data science Machine learning Cloud Transition Data analytics data visualization big data,https://www.naukri.com/job-listings-data-scientist-srima-tech-remote-3-to-8-years-190825500748
Praudyo Solutions Private Limited.,Data Scientist,3.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-praudyo-solutions-private-limited-new-delhi-3-to-7-years-190224502238
Biocube,Data Scientist,0.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-biocube-noida-0-to-3-years-151025503604
TensorIoT Inc,ML/AI Data Scientists,3.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-ml-ai-data-scientists-tensoriot-inc-bengaluru-3-to-7-years-131025501081
Digital Dogs Content And Media,Data Scientist,5.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-digital-dogs-content-and-media-mumbai-5-to-8-years-120724501394
Sroniyan,Data Scientist,5.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-sroniyan-jhansi-5-to-10-years-110724502775
Environmental Resources Management (ERM),Data Scientist/Automation,4.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-automation-erm-india-private-limited-new-delhi-4-to-8-years-091025501808
Diverse Lynx,Data Scientist,4.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bengaluru-4-to-5-years-080925502370
Bumppy Media,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-bumppy-media-pvt-ltd-noida-2-to-6-years-070725500729
IDESLABS,Data Scientist,5.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-ideslabs-private-limited-hyderabad-5-to-15-years-070324502344
Krazy Mantra It,Data Scientist,6.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-krazy-mantra-group-of-companies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-060225503614
Tattva Foundation,Data Scientist,1.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-tattvafoundation-lucknow-1-to-7-years-050925506585
Vervegen Tech,Data Scientist,8.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-vervegen-tech-pvt-ltd-dehradun-8-to-13-years-050625501111
Aisquare,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-ai-square-remote-2-to-6-years-040825506537
Pragya Health Technologies,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-pragya-health-technologies-bengaluru-2-to-6-years-040624501636
Aksvin Technologies,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-aksvin-technologies-remote-2-to-7-years-031025502813
Zen Data Shastra,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing data mining predictive,https://www.naukri.com/job-listings-data-scientist-zen-data-shastra-bengaluru-2-to-6-years-021224500821
Inginit,Data scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-inginit-mumbai-2-to-5-years-020925501271
Admini Boosting Productivity,Data Scientist,2.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-admini-boosting-productivity-siliguri-2-to-5-years-020725503606
Zara Inforise,Data Scientist,1.0,algorithms python modeling data analysis data analytics natural language processing predictive machine learning,https://www.naukri.com/job-listings-data-scientist-zara-inforise-indore-1-to-4-years-010725501037
IBM,Data Scientist-Artificial Intelligence,5.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-060426920916
IBM,Data Scientist-Artificial Intelligence,4.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-4-to-6-years-060426920899
IBM,Data Scientist-Artificial Intelligence,5.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-kochi-5-to-7-years-060426920869
IBM,Data Scientist-Artificial Intelligence,9.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-9-to-14-years-060426915662
3Shool Technology Consultants,Data Scientist,6.0,Data scientist Retail demand forecasting Data Science R data manipulation Pandas Data Analytics,https://www.naukri.com/job-listings-data-scientist-3shool-technology-consultants-bengaluru-6-to-11-years-130326011113
Zuno General Insurance,Data Scientist/Engineer,2.0,Data Engineering Data Science Business Intelligence Pyspark Api Integration Big Data Deployment Elt,https://www.naukri.com/job-listings-data-scientist-engineer-zuno-general-insurance-mumbai-navi-mumbai-mumbai-all-areas-2-to-6-years-010426033472
Maruti True Value,Data Scientist,4.0,Data analysis Simulation Time series analysis Signal processing vehicle dynamics Telematics Data analytics Automotive,https://www.naukri.com/job-listings-data-scientist-maruti-true-value-gurugram-4-to-9-years-010426504110
Alstom,Machine Learning Engineer,4.0,Machine Learning Airflow Tensorflow Ai Kafka Devops Data Science R,https://www.naukri.com/job-listings-machine-learning-engineer-alstom-transport-india-ltd-bengaluru-4-to-8-years-060426911454
Alstom,AI Business Analyst,5.0,business analyst confluence data analytics alm data pipelines ai microsoft azure power bi,https://www.naukri.com/job-listings-ai-business-analyst-alstom-transport-india-ltd-bengaluru-5-to-10-years-060426911363
MALABAR GOLD & DIAMONDS,Data Science Engineer,4.0,Data Science Data Engineering Artificial Intelligence Machine Learning Python R Data Analytics Deep Learning,https://www.naukri.com/job-listings-data-science-engineer-malabar-gold-diamonds-kozhikode-4-to-9-years-060426017911
